Method,Name,Error,Occurrences
GET,/visualizations/class-distribution,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='host.docker.internal', port=8080): Read timed out. (read timeout=30)""))",2
GET,/status,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='host.docker.internal', port=8080): Read timed out. (read timeout=30)""))",1
