Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785022478,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785022479,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785022480,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785022481,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785022482,6,,Aggregated,0.000000,0.000000,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,1,0,3936.4394000003813,3936.4394000003813,3936.4394000003813,3936.4394000003813,190.0
1785022483,6,,Aggregated,0.000000,0.000000,3700,3700,3900,3900,4700,4700,4700,4700,4700,4700,4700,6,0,3400.0,3486.920871666674,2536.631708000641,4675.757907999468,181.0
1785022484,6,,Aggregated,0.000000,0.000000,3400,3700,3900,3900,4700,4700,4700,4700,4700,4700,4700,8,0,2600.0,2769.578158125114,378.86111500029074,4675.757907999468,183.25
1785022485,6,,Aggregated,0.400000,0.000000,1200,2600,3400,3700,3900,4700,4700,4700,4700,4700,4700,13,0,1200.0,2060.3682240769976,378.86111500029074,4675.757907999468,294.38461538461536
1785022486,6,,Aggregated,0.400000,0.000000,1200,2600,3400,3700,3900,4700,4700,4700,4700,4700,4700,13,0,1200.0,2060.3682240769976,378.86111500029074,4675.757907999468,294.38461538461536
1785022487,6,,Aggregated,1.142857,0.000000,1100,2500,3400,3700,3900,4700,4700,4700,4700,4700,4700,15,0,1100.0,1920.6460419333478,378.86111500029074,4675.757907999468,280.46666666666664
1785022488,6,,Aggregated,1.625000,0.000000,1200,2000,2600,3400,3900,4700,4700,4700,4700,4700,4700,19,0,1200.0,1852.6268820000232,378.86111500029074,4675.757907999468,299.89473684210526
