Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/status,1,1,33591.84953099975,33591.84953099975,33591.84953099975,33591.84953099975,0.0,0.02084264419918926,0.02084264419918926,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/visualizations/class-distribution,2,2,34000.0,40896.34631899935,33853.45946099915,47939.23317699955,0.0,0.04168528839837852,0.04168528839837852,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
,Aggregated,3,3,34000.0,38461.51405633282,33591.84953099975,47939.23317699955,0.0,0.06252793259756777,0.06252793259756777,34000,34000,48000,48000,48000,48000,48000,48000,48000,48000,48000
