Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,15,0,2200.0,7777.760278866421,511.8720949994895,26438.67684399993,190.0,0.38884395281743195,0.0,2200,3500,19000,24000,25000,26000,26000,26000,26000,26000,26000
GET,/status,7,0,1200.0,5360.271910856942,77.72314599969832,28452.6705520002,1812.2857142857142,0.18146051131480156,0.0,1200,2400,3700,3700,28000,28000,28000,28000,28000,28000,28000
GET,/visualizations/class-distribution,4,0,940.0,7074.008906249901,115.05290100012644,25719.13478500028,55.0,0.10369172075131518,0.0,1500,1500,26000,26000,26000,26000,26000,26000,26000,26000,26000
,Aggregated,26,0,1500.0,7018.628583999788,77.72314599969832,28452.6705520002,606.0,0.6739961848835487,0.0,1500,3500,7000,19000,26000,26000,28000,28000,28000,28000,28000
